,index,titelId,title,averageRating,numVotes
172,179,tt0000370,'Scrooge; or Marley\'s Ghost',5.6,399
173,180,tt0000373,'Les sept chteaux du diable',6.2,56
174,181,tt0000376,'A tncz',7.0,6
175,182,tt0000377,'Undressing Extraordinary',6.1,100
176,183,tt0000379,'Visita de la escuadra inglesa a Barcelona',5.2,6
177,184,tt0000380,'La belle au bois dormant',7.2,13
178,185,tt0000384,'Les chiens savants',5.8,191
179,186,tt0000387,'The Coronation of Edward VII',5.1,295
180,187,tt0000388,'Danse excentrique',5.2,102
181,188,tt0000399,'Jack and the Beanstalk',6.0,657
182,189,tt0000407,'Procesin de las hijas de Mara de la parroquia de Sans',3.8,27
183,190,tt0000409,'Sage-femme de premire classe',5.2,174
184,191,tt0000410,'Demolishing and Building Up the Star Theatre',6.7,880
185,192,tt0000413,'Les trsors de satan',5.5,364
186,193,tt0000414,'Uncle Josh at the Moving Picture Show',5.3,656
187,194,tt0000416,'Les victimes de l\'alcoolisme',5.3,130
188,195,tt0000417,'Le voyage dans la lune',8.2,44126
189,196,tt0000420,'Alice in Wonderland',6.3,2371
190,197,tt0000423,'La bote  malice',5.4,192
191,198,tt0000425,'Buffalo Bill\'s Parade',5.2,10
192,199,tt0000430,'A Chess Dispute',5.9,613
193,200,tt0000432,'Comment monsieur prend son bain',5.6,169
194,201,tt0000436,'An Extraordinary Cab Accident',6.1,454
195,202,tt0000437,'Faust et Mphistophls',5.1,195
196,203,tt0000439,'The Great Train Robbery',7.3,17359
197,204,tt0000440,'La guirlande merveilleuse',5.4,184
198,205,tt0000441,'Gulliver en el pas de los gigantes',6.5,6
199,206,tt0000442,Henrettelsen,4.7,60
200,208,tt0000447,'Life of an American Fireman',6.4,2128
201,209,tt0000451,'Mary Jane\'s Mishap',6.5,773
202,210,tt0000455,'Le mlomane',6.8,1664
203,211,tt0000456,'N.Y. Fire Department Returning',4.2,38
204,212,tt0000464,'Rip Van Winkle',4.7,359
205,213,tt0000465,'Le royaume des fes',7.3,1224
206,214,tt0000469,'The Sick Kitten',5.8,911
207,215,tt0000471,'Uncle Tom\'s Cabin',5.1,411
208,216,tt0000472,'Uncle Tom\'s Cabin',6.4,13
209,217,tt0000479,'Buy Your Own Cherries',5.3,336
210,218,tt0000480,'Le coffre enchant',5.0,162
211,219,tt0000487,'The Great Train Robbery',7.0,428
212,220,tt0000488,'The Land Beyond the Sunset',6.9,710
213,221,tt0000491,'Opening the Williamsburg Bridge',4.0,40
214,222,tt0000492,Personal,5.0,93
215,223,tt0000495,'Le pcheur de perles',6.0,84
216,224,tt0000498,'Rescued by Rover',6.7,1059
217,225,tt0000499,'Le voyage  travers l\'impossible',7.6,3141
218,226,tt0000501,'Adventures of Sherlock Holmes',4.6,25
219,227,tt0000505,'La course  la perruque',8.1,11
220,229,tt0000507,'Departure of Peary and the Roosevelt from New York',3.7,28
221,230,tt0000509,'Les dbuts d\'un chauffeur',6.0,21
222,231,tt0000511,Esmeralda,6.7,24
223,232,tt0000515,'Los guapos del parque',4.8,74
224,233,tt0000516,'El hotel elctrico',6.5,868
225,234,tt0000519,'The Kleptomaniac',5.7,306
226,235,tt0000521,'The Little Train Robbery',5.4,254
227,236,tt0000524,'New York Subway',5.7,662
228,237,tt0000525,'Pendaison  Jefferson City',5.4,39
229,239,tt0000534,'The \'?\' Motorist',6.6,985
230,240,tt0000535,'Anarkistens svigermor',5.1,48
231,242,tt0000543,'Christian IXS bisttelse',5.2,12
232,243,tt0000546,'Dream of a Rarebit Fiend',6.7,1709
233,244,tt0000548,'Fiskerliv i Norden',5.5,6
234,245,tt0000550,'Proklamationen af Kong Frederik d. VIII',4.4,8
235,246,tt0000553,'The Haunted Hotel',6.5,321
236,247,tt0000554,'Humorous Phases of Funny Faces',6.2,1122
237,248,tt0000555,'Den hvide slavinde',5.2,11
238,249,tt0000557,'Kathleen Mavourneen',4.7,95
239,250,tt0000561,'The Life of a Cowboy',5.3,32
240,251,tt0000565,'The Night Before Christmas',6.3,497
241,252,tt0000567,'Les quatre cents farces du diable',6.7,940
242,253,tt0000574,'The Story of the Kelly Gang',6.1,613
243,254,tt0000575,'20000 lieues sous les mers',5.8,415
244,255,tt0000576,'Ali Baba et les quarante voleurs',6.0,195
245,256,tt0000582,'Ben Hur',5.0,596
246,257,tt0000583,Kameliadamen,5.4,27
247,258,tt0000591,'L\'enfant prodigue',5.5,6
248,259,tt0000594,'Flugten fra seraillet',6.0,6
249,260,tt0000595,Rosen,5.7,6
250,261,tt0000597,'Les glaces merveilleuses',4.9,56
251,262,tt0000598,Hamlet,5.4,25
252,263,tt0000599,Isbjrnejagten,4.7,7
253,264,tt0000601,Lohengrin,5.0,6
254,265,tt0000602,Lvejagten,4.6,169
255,266,tt0000608,'En ny hat til Madammen',6.0,6
256,267,tt0000609,Otello,4.2,12
257,268,tt0000610,Othello,5.0,11
258,269,tt0000614,'Le spectre rouge',6.5,915
259,270,tt0000617,'Rverens brud',4.6,16
260,271,tt0000618,Salaviinanpolttajat,8.0,6
261,272,tt0000621,'That Fatal Sneeze',6.4,525
262,273,tt0000628,'The Adventures of Dollie',5.7,690
263,274,tt0000630,Amleto,3.2,11
264,275,tt0000634,'Antony and Cleopatra',3.7,10
265,276,tt0000637,'L\'assassinat du duc de Guise',5.5,587
266,277,tt0000638,'At the Crossroads of Life',5.3,34
267,278,tt0000640,'An Awful Moment',4.3,79
268,279,tt0000641,'Balked at the Altar',4.8,105
269,280,tt0000644,'Behind the Scenes',5.3,18
270,281,tt0000645,'Betrayed by a Handprint',5.2,109
271,282,tt0000648,'The Black Viper',4.7,107
272,283,tt0000653,'A Calamitous Elopement',4.6,151
273,284,tt0000658,'Le cauchemar de Fantoche',6.3,180
274,285,tt0000661,'La civilisation  travers les ges',6.2,10
275,286,tt0000666,'Corrida de toros con Antonio Fuentes',5.8,20
276,287,tt0000668,'The Count of Monte Cristo',7.0,22
277,288,tt0000669,'Cupid\'s Pranks',4.9,104
278,289,tt0000671,Desdemona,6.7,9
279,290,tt0000677,'Ex-Convict No. 900',6.5,6
280,291,tt0000682,Fantasmagorie,6.9,2214
