,title,averageRating,numVotes
3947,'Two Arabian Knights',6.7,907
3950,'Un chapeau de paille d\'Italie',6.7,774
3953,Underworld,7.6,2637
3954,'The Unknown',7.8,7301
3971,Wings,7.5,11459
3973,'With Love and Hisses',6.4,553
3984,'Across to Singapore',6.0,971
4007,'The Barn Dance',6.4,534
4011,'Beggars of Life',7.5,974
4033,'Die Bchse der Pandora',7.9,9780
4036,'The Cameraman',8.1,10485
4041,'The Cardboard Lover',6.2,806
4045,Champagne,5.6,2027
4048,'La chute de la maison Usher',7.3,3480
4051,'The Circus',8.1,30176
4054,'The Cossacks',6.5,614
4057,'The Crowd',8.1,7522
4069,'The Docks of New York',7.5,3985
4070,'Dom na Trubnoy',7.3,579
4079,'Early to Bed',6.4,631
4084,'The Fall of the House of Usher',6.8,1200
4085,'The Farmer\'s Wife',5.9,2500
4089,'The Finishing Touch',7.3,1096
4097,'Four Sons',7.1,636
4101,'The Gallopin\' Gaucho',6.6,815
4106,'A Girl in Every Port',6.6,642
4115,'Habeas Corpus',6.8,729
4154,'The Last Command',8.0,3387
4157,'Leave \'em Laughing',6.8,898
4162,'Lights of New York',5.7,743
4163,'Lilac Time',6.1,643
4167,Lonesome,7.8,2039
4172,'The Man Who Laughs',7.7,6012
4180,'The Matinee Idol',6.8,516
4195,'The Mysterious Lady',7.3,1166
4212,'Our Dancing Daughters',6.7,1550
4221,'La passion de Jeanne d\'Arc',8.1,47622
4222,'The Patsy',7.5,2332
4227,'La petite marchande d\'allumettes',7.2,1139
4231,'Plane Crazy',7.1,1798
4234,'Potomok Chingis-Khana',7.1,1869
4240,'Two Little Indians',7.8,620
4242,'Ugetsu monogatari',8.3,20875
4249,'Les vacances de Monsieur Hulot',7.5,16817
4258,'Velikiy voin Albanii Skanderbeg',7.9,626
4260,Vesna,8.1,542
4264,'Viaggio in Italia',7.4,9053
4265,'Journey to Italy',7.4,9053
4267,'Vice Squad',6.6,559
4268,Vicki,6.5,892
4274,'I vitelloni',7.9,16101
4280,'War Arrow',5.9,708
4282,'The War of the Worlds',7.1,32698
4292,'White Witch Doctor',6.1,598
4302,'Working for Peanuts',7.3,571
4305,'Young Bess',6.7,1425
4307,'Zipping Along',7.3,852
4312,'The Adventures of Rin Tin Tin',7.1,650
4320,Disneyland,8.5,1649
4322,'Father Knows Best',7.4,1898
4328,Lassie,6.6,2873
4341,'Sherlock Holmes',7.7,794
4348,'Victory at Sea',8.4,564
4354,'Abismos de pasin',6.7,1123
4355,'About Mrs. Leslie',7.1,572
4369,'Ali Baba et les 40 voleurs',6.1,1032
4373,'Un americano a Roma',7.0,1606
4377,Anatahan,7.2,948
4379,'Angels One Five',6.5,899
4382,Apache,6.4,3991
4390,Attila,5.5,643
4398,'Baby Buggy Bunny',7.9,1117
4399,'Baby Butch',7.6,717
4404,Bangiku,7.4,930
4406,'The Barefoot Contessa',7.0,9793
4409,Beachhead,5.8,906
4410,'Beau Brummell',6.4,1283
4416,'The Belles of St. Trinian\'s',6.8,2369
4419,Betrayed,6.1,1099
4420,'Bewitched Bunny',7.9,1157
4432,'The Black Knight',5.2,699
4435,'The Black Shield of Falworth',6.5,1584
4437,'Black Widow',6.7,2301
4444,'Boot Polish',8.1,735
4446,'The Bounty Hunter',6.5,806
4447,'The Bowery Boys Meet the Monsters',6.2,595
4449,'The Bridges at Toko-Ri',6.7,5241
4450,Brigadoon,6.8,7509
4451,'Broken Lance',6.9,3430
4454,'Bugs and Thugs',8.2,1463
4459,'The Caine Mutiny',7.7,24343
4466,'Carmen Jones',6.8,4623
4467,'Carnival Story',5.7,506
4471,'Casanova\'s Big Night',6.8,934
4476,'Cattle Queen of Montana',5.6,792
4485,'Chikamatsu monogatari',8.0,3750
4492,'Claws for Alarm',7.7,633
4499,'The Country Girl',7.3,5428
4500,'Creature from the Black Lagoon',7.0,26822
4502,'Crime Wave',7.4,3356
4511,'The Dam Busters',7.4,9594
4513,'Dangerous Mission',5.8,654
4517,'Deep in My Heart',6.4,727
4519,'Demetrius and the Gladiators',6.6,3396
4522,Dsire,6.4,2684
4524,Destry,6.7,1197
4525,'Devil Girl from Mars',5.0,1277
4526,'Devil May Hare',7.6,1360
4528,'Les diaboliques',8.0,61492
4529,'Dial M for Murder',8.2,158247
4537,'Doctor in the House',6.6,1283
4542,'Down Three Dark Streets',6.7,811
4543,'Downhearted Duckling',7.4,592
4545,Dragnet,6.7,828
4546,'Dragon Around',7.1,561
4547,'Drive a Crooked Road',6.9,1126
4548,'Drum Beat',6.4,801
4549,'Drums Across the River',6.2,777
4557,'The Egyptian',6.6,3543
4558,'Elephant Walk',6.3,2141
4563,'Escuela de vagabundos',8.0,588
4565,'Executive Suite',7.4,3623
4571,'The Fast and the Furious',5.4,1187
4572,'Father Brown',6.7,1283
4577,'Fire Maidens from Outer Space',2.4,1493
4592,'French Cancan',7.4,3751
4593,'The French Line',5.3,508
4604,'Garden of Evil',6.7,3098
4619,'The Glenn Miller Story',7.3,8009
4622,Gog,5.5,1120
4623,Gojira,7.6,29091
4628,'The Good Die Young',6.7,851
4629,'Gorilla at Large',5.4,545
4634,'Green Fire',5.9,1223
4650,'Hell and High Water',6.2,1610
4659,'Hic-cup Pup',7.7,646
4660,'The \'Maggie\'',7.0,1174
4661,'The High and the Mighty',6.8,5374
