,title,averageRating,numVotes,id,revenue,release_date,percent_of_max_revenue,percent_of_max_review
485,'The Rite',6.0,90910,48171,96047633.0,2011-01-28,0.6,0.06320761608881362
265,'Edge of Darkness',6.6,89705,12201,74901339.0,2010-01-29,0.6599999999999999,0.0492915330880677
357,'Do the Right Thing',8.0,89351,925,37295445.0,1989-06-30,0.8,0.024543615451944178
302,'The Living Daylights',6.7,89303,708,191185897.0,1987-06-29,0.67,0.12581678904228139
261,'A View to a Kill',6.4,88884,707,152427960.0,1985-05-24,0.64,0.10031072787479353
343,Scrooged,7.0,88824,9647,60328000.0,1988-11-22,0.7,0.039701020673835324
602,'Mr. Popper\'s Penguins',6.0,88347,58224,187361754.0,2011-06-17,0.6,0.12330017353534095
323,'Child\'s Play',6.6,87673,10585,44196684.0,1988-11-08,0.6599999999999999,0.02908522518894986
455,Killers,5.5,87371,37821,98159963.0,2010-06-04,0.55,0.06459771118561713
130,'My Fair Lady',7.8,86471,11113,72070731.0,1964-10-21,0.78,0.047428749194560145
263,Witness,7.4,86338,9281,68706993.0,1985-02-08,0.74,0.0452151198370584
410,Selma,7.5,86312,273895,66787908.0,2014-12-25,0.75,0.04395219659644298
486,Biutiful,7.5,86186,45958,25147786.0,2010-10-20,0.75,0.016549409426587763
441,'Eddie the Eagle',7.4,85609,319888,46152800.0,2016-02-26,0.74,0.030372518017427845
592,'Cop Out',5.6,85165,23742,55583804.0,2010-02-26,0.5599999999999999,0.03657893103922574
415,'Righteous Kill',6.0,84718,13389,73174566.0,2008-09-11,0.6,0.04815516770927144
581,'August: Osage County',7.2,84710,152737,74188937.0,2013-12-26,0.72,0.04882271120552424
555,'Harry Brown',7.2,84094,25941,10329747.0,2009-11-11,0.72,0.00679786333381661
203,Videodrome,7.2,83876,837,2120439.0,1983-02-04,0.72,0.0013954315173154539
471,'Sex Drive',6.5,83787,13523,18755936.0,2008-10-16,0.65,0.012343021530518703
558,'How to Be Single',6.1,81010,259694,112343513.0,2016-01-21,0.61,0.07393170886129638
425,Goosebumps,6.3,80892,257445,158162788.0,2015-08-05,0.63,0.10408473869877062
332,'The Land Before Time',7.4,79931,12144,84460846.0,1988-11-18,0.74,0.05558251215315644
378,'Days of Thunder',6.1,79241,2119,157920733.0,1990-06-27,0.61,0.10392544565807302
